impact_param,tau_9Msun,tau_10Msun,tau_11Msun,tau_12Msun
9.10E+00,0.00E+00,0.00E+00,1.34E-11,1.50E-10
9.20E+00,0.00E+00,0.00E+00,1.16E-11,1.33E-10
9.30E+00,0.00E+00,0.00E+00,1.01E-11,1.17E-10
9.40E+00,0.00E+00,0.00E+00,8.73E-12,1.04E-10
9.50E+00,0.00E+00,0.00E+00,7.56E-12,9.18E-11
9.60E+00,0.00E+00,0.00E+00,6.53E-12,8.12E-11
9.70E+00,0.00E+00,0.00E+00,5.65E-12,7.18E-11
9.80E+00,0.00E+00,0.00E+00,4.87E-12,6.35E-11
9.90E+00,0.00E+00,0.00E+00,4.20E-12,5.61E-11
1.00E+01,0.00E+00,0.00E+00,3.62E-12,4.96E-11
